Country,Year,GDP_USD
South Korea,2007,1172610000000
South Korea,2008,1047340000000
South Korea,2009,943942000000
South Korea,2010,1143670000000
South Korea,2011,1253290000000
South Korea,2012,1278050000000
South Korea,2013,1370630000000
South Korea,2014,1484490000000
South Korea,2015,1466040000000
South Korea,2016,1499680000000
South Korea,2017,1623070000000
South Korea,2018,1725370000000
South Korea,2019,1651420000000
South Korea,2020,1644310000000
South Korea,2021,1818430000000
South Korea,2022,1673920000000
South Korea,2023,1712790000000
