Country,Year,GDP_USD
South Korea,2018,1725373496825.4
South Korea,2019,1651422932447.8
South Korea,2020,1644312831906.2
South Korea,2021,1818432106880
South Korea,2022,1673916469026.6
South Korea,2023,1710000000000
India,1973,85515269585.4
India,1974,99525899116.1
India,1975,98472796456.9
India,1976,102717164466.4
India,1977,121486641441.3
India,1978,137300295313.3
India,1979,152991653793.8
India,1980,186325345086.7
India,1981,193491368445.6
India,1982,200715624830.9
India,1983,218262146413.2
India,1984,212157645177.7
India,1985,232511554840.4
India,1986,248985994040.6
India,1987,279033584092.2
India,1988,296589670895.9
India,1989,296042052944.7
India,1990,320979026420
India,1991,270105341879.2
India,1992,288208070278
India,1993,279295648982.5
India,1994,327275583530
India,1995,360281909643.5
India,1996,392896866204.5
India,1997,415867563592.8
India,1998,421351317224.9
India,1999,458820417337.8
India,2000,468394937255.8
India,2001,485441014538.6
India,2002,514937948874.2
India,2003,607699285436
India,2004,709148514815.8
India,2005,820381595510.6
India,2006,940259888794.4
India,2007,1216736438842.4
India,2008,1198895139014.6
India,2009,1341888016984.4
India,2010,1675615519489.4
India,2011,1823051829900.8
India,2012,1827637590787.2
India,2013,1856721507681.1
India,2014,2039126479228.1
India,2015,2103588360066.3
India,2016,2294796885682.5
India,2017,2651474262735.3
India,2018,2702929641707.4
India,2019,2835606256616
India,2020,2671595405986.9
India,2021,3150306839142.1
India,2022,3416645826052.9
India,2023,3640000000000
Indonesia,1973,16273253012
Indonesia,1974,25802409638.6
Indonesia,1975,30463855421.7
Indonesia,1976,37269156626.5
Indonesia,1977,45808915662.7
Indonesia,1978,51455719075.8
Indonesia,1979,51400186342.9
Indonesia,1980,72482337397.4
Indonesia,1981,85518233419
Indonesia,1982,90158449295
Indonesia,1983,1345824500836.8
Indonesia,1984,84853700027.7
Indonesia,1985,85289488375.4
Indonesia,1986,79954072544.5
Indonesia,1987,75929617557.8
Indonesia,1988,84300174485.8
Indonesia,1989,94451427876.7
Indonesia,1990,106140727333.6
Indonesia,1991,116621996217.1
Indonesia,1992,128026966580
Indonesia,1993,158006700301.5
Indonesia,1994,176892143931.5
Indonesia,1995,202132028723.1
Indonesia,1996,227369679375
Indonesia,1997,215748998609.6
Indonesia,1998,95445547872.7
Indonesia,1999,140001351215.5
Indonesia,2000,165021012077.8
Indonesia,2001,160446947784.9
Indonesia,2002,195660611165.2
Indonesia,2003,234772463823.8
Indonesia,2004,256836875295.5
Indonesia,2005,285868619196.1
Indonesia,2006,364570515618.4
Indonesia,2007,432216737774.9
Indonesia,2008,510228634990.6
Indonesia,2009,539580085616.5
Indonesia,2010,755094157621.9
Indonesia,2011,892969104563.2
Indonesia,2012,917869913332.6
Indonesia,2013,912524136718
Indonesia,2014,890814755533.5
Indonesia,2015,860854232686.2
Indonesia,2016,931877364037.7
Indonesia,2017,1015618744159.7
Indonesia,2018,1042271532988.6
Indonesia,2019,1119099871350.2
Indonesia,2020,1059054842698.5
Indonesia,2021,1186505455736.5
Indonesia,2022,1319100220407.7
Indonesia,2023,1370000000000
